"GREENE & GREENE / ARCHITECTURE AS FINE ART","17.1","MAKINSON","ARCHITECTURE","","","",""
"THE GAMBLE HOUSE","17.11","THOMAS","ARCHITECTURE","","","",""
"CRAFTSMAN STYLE HOUSES","17.2","FINE HOMEBUILDIN","ARCHITECTURE","","","",""
"GLOBAL ARCHITECTURE","17.3","FUTAGAWA","ARCHITECTURE","","","",""
"BUILDINGS IN WOOD","17.4","PRYCE","ARCHITECTURE","","","",""
"HANDMADE HOUSES","18","BOERICKE","OWNER-BUILDING","","","",""
"HOME WORK","18.1","KAHN","OWNER-BUILDING","ARCHITECTURE","","",""
"SITE PLANNING","19","LYNCH","DESIGN","","","",""
"THE CRAFTSMAN BUILDER","20","BOERICKE / SHAPIRO","OWNER-BUILDING","","","",""
"STRUCTURES","21","GORDON","ENGINEERING","","","",""
"THE ART OF CONSTRUCTION","21.1","SALVADORI","ENGINEERING","","","",""
"HOW STRUCTURES WORK","21.12","YEOMANS","ENGINEERING","","","",""
"RECIPROCAL FRAME ARCHITECTURE","21.13","LARSEN","ENGINEERING","ARCHITECTURE","","",""
"SIMPLIFIED DESIGN OF STRUCTURAL WOOD","21.2","PARKER","ENGINEERING","","","",""
"STRUCTURAL DESIGN IN ARCHITECTURE","21.3","SALVADORI","ENGINEERING","","","",""
"SIMPLIFIED ENGINEERING FOR ARCHITECTS AND BUILDERS","21.4","PARKER","ENGINEERING","","","",""
"BASIC ENGINEERING CALCULATIONS FOR CONTRACTORS","21.5","DOMEL","ENGINEERING","","","",""
"NATIONAL DESIGN SPECIFICATIONS FOR WOOD CONSTRUCTION","21.6","AF&PA","ENGINEERING","","","",""
"WOOD HANDBOOK","21.7","USDA","ENGINEERING","WOODWORKING","","",""
"STRUCTURAL ANALYSIS OF HISTORIC BUILDINGS","21.8","RABON","ENGINEERING","RENOVATION","","",""
"ENGINEERING MECHANICS:STATICS","21.9","BORESI/SCHMIDT","ENGINEERING","","","",""
"STATICS AND STRENGTH OF MATERIALS","21.91","JENSON AND CHENOWITH","ENGINEERING","","","",""
"THE PLACE OF HOUSES","22","HACKENBERG","ARCHITECTURE","","","",""
"AMERICAN HOUSES","22.2","LANGDON","ARCHITECTURE","","","",""
"A FIELD GUIDE TO AMERICAN HOUSES","22.3","McALESTER","ARCHITECTURE","","","",""
"THE CAPE COD HOUSE","22.4","SCHULER","ARCHITECTURE","","","",""
"SALTBOX AND CAPE COD HOUSES","22.5","SCHULER","ARCHITECTUREK","","","",""
"I KNOW THAT BUILDING","22.6","D'ALELIO","ARCHITECTURE","","","",""
"ALL THEIR OWN","23","WAMPLER","OWNER-BUILDING","","","",""
"BUILT BY HAND","23.1","STEEN, STEEN, & KOMATSU","ARCHITECTURE","OWNER-BUILDING","","",""
"THE NATURAL HOUSE","24","WRIGHT","ARCHITECTURE","","","",""
"HOUSING BY PEOPLE","25","TURNER","ARCHITECTURE","","","",""
"HOUSING OURSELVES","25.1","BURNHAM","ARCHITECTURE","","","",""
"THE OCTAGON HOUSE","25.3","FOWLER","ARCHITECTURE","","","",""
"THE ARCHITECTURE PACK","25.4","VANDERMEER/SUDJIK","ARCHITECTURE","","","",""
"ARCHITECTURAL AND BUILDING TRADES DICTIONARY","25.5","PUTNAM","ARCHITECTURE","","","",""
"ELEMENTS OF ARCHITECTURAL DESIGN","25.6","BURDEN","ARCHITECTURE","","","",""
"RSVP CYCLES, CREATIVE PROCESSES IN THE HUMAN ENVIRONMENT","26","HALPRIN","DESIGN","","","",""
"ESTIMATING HOME BUILDING COSTS","27","JACKSON","ESTIMATING","","","",""
"THE ESTIMATOR","27.5","HOME BUILDING PLAN SERVICE","ESTIMATING","","","",""
"THE LABORATOR","27.6","HOME BUILDING PLAN SERVICE","ESTIMATING","","","",""
"BASIC CONSTRUCTION & MATERIALS TAKEOFF","28","JONES","ESTIMATING","","","",""
"READING CONSTRUCTION DRAWINGS","28.5","WALLACH & HEPLER","DRAFTING","","","",""
"ARCHITECTURAL DRAFTING & DESIGN","29","WIEDHAAS","DRAFTING","","","",""
"GOOGLE SKETCHUP FOR DUMMIES","29.1","CHOPRA","DRAFTING","","","",""
"GRAPHICS FOR ARCHITECTURE","30","FORSETH","DRAFTING","","","",""
"CONSTRUCTION GEOMETRY","30.1","WALMSLEY","DRAFTING","","","",""
"WORKSHOP MATH","30.2","SCHARFF","BASICS OF BUILDING","","","",""
"MATH TO BUILD ON","30.3","HAMILTON","BASICS OF BUILDING","","","",""
"BUILDING CONSTRUCTION ILLUSTRATED","31","CHING","BASICS OF BUILDING","","","",""
"ARCHITECTURAL GRAPHICS","32","CHING","DRAFTING","","","",""
"WORKING DRAWING HANDBOOK","33","McHUGH","DRAFTING","","","",""
"THE MAINE COMPETITION","34","OCT. '76","DESIGN","","","",""
"THE TIMELESS WAY OF BUILDING","35","ALEXANDER","DESIGN","","","",""
"A PATTERN LANGUAGE","36","ALEXANDER","DESIGN","","","",""
"HOME BY DESIGN","36.1","SUSANKA","DESIGN","","","",""
"THE NATURE OF ORDER - THE PROCESS OF CREATING LIFE","36.2","ALEXANDER","DESIGN","","","",""
"THE PRODUCTION OF HOUSES","36.5","ALEXANDER","DESIGN","","","",""
"THE GOOD HOUSE","36.6","JACOBSON / ET. AL.","DESIGN","ARCHITECTURE","","",""
"GOOD HOUSE, CHEAP HOUSE","36.7","OBOLENSKY","DESIGN","","","",""
"WHAT NOT TO BUILD","36.8","EDELMAN, GAMAN,REID","DESIGN","","","",""
"HOME FOR THE SOUL","36.9","LAWLOR","DESIGN","PHILOSOPHY","","",""
"HOUSE CONFORTABLE","36.91","MCMILLAN","DESIGN","PHILOSOPHY","","",""
"DESIGN AWARENESS","37","SOMMER","DESIGN","","","",""
"BUILDING FOR A LIFETIME","37.1","WYLDE ET AL","DESIGN","ACCESSIBILITY","","",""
"ELDERHOUSE","37.2","ALTMAN","DESIGN","ACCESSIBILITY","","",""
"A HOUSE FOR MY MOTHER","37.3","DUNLOP","DESIGN","ACCESSIBILITY","","",""
"DESIGNING HOUSES","37.5","WALKER/MILSTEIN","DESIGN","DRAFTING","","",""
"PLANNING WORKBOOK","37.6","DATA DESIGNS","DESIGN","","","",""
"DESIGNING AFFORDABLE HOUSES","37.7","HUD","DESIGN","","","",""
"A SIMPLIFIED DRAFTING SYSTEM FOR PLANNING & DESIGN","38","CURRAN","DESIGN","DRAFTING","","",""
"LEISURE HOMES","39","LEES & HEYN","PLANS","","","",""
"BUILDING VALUE INTO HOUSING","39.5","H.U.D.","DESIGN","PLANS","","",""
"BEST OF BLOODGOOD","39.6","PROFESSIONAL BUILDER","PLANS","","","",""
"THE BUILDING PLAN BOOK","39.7","BRYANT","PLANS","","","",""
"DRAFTING","40","SYVANEN","DRAFTING","","","",""
"HOW TO BE YOUR OWN ARCHITECT","40.1","BALLARD","DESIGN","","","",""
"COMPENDIUM OF DRAWING","40.2","SUTCLIFF, UNDERHILL","DESIGN","BASICS OF BUILDING","","",""
"ARCHITECTURAL GRAPHIC STANDARDS","40.3","RAMSEY, SLEEPER","ARCHITECTURE","","","",""
"NATIONAL CONSTRUCTION ESTIMATOR","40.5","1995","ESTIMATING","","","",""
"CABINETMAKING & MILLWORK","41","FEIRER","DETAILS","","","",""
"THE ART OF CABINETMAKING","41.3","TIME/LIFE","DETAILS","","","",""
"CABINETMAKING FROM DESIGN TO FINISH","41.4","MAGUIRE","DETAILS","","","",""
"CABINETMAKING FOR BEGINNERS","41.5","HAYWARD","DETAILS","","","",""
"CABINETS AND BUILT-INS","41.6","LAVINE","DETAILS","","","",""
"SOLID-WOOD CABINET CONSTRUCTION","41.7","KARG","DETAILS","","","",""
"HANDMADE HOT WATER SYSTEMS","42","SUSSMAN / FRAZIER","PLUMBING","","","",""
"HANDYMAN'S BOOK","43","BETTER HOMES & GARDENS","DETAILS","","","",""
"CARE AND REPAIR OF THE HOUSE","43.1","PHELAN","DETAILS","","","",""
"HOUSEHOLDER'S SURVIVAL MANUAL","43.2","READERS DIGEST","DETAILS","","","",""
"NEW FIX-IT YOURSELF MANUAL","43.3","READERS DIGEST","DETAILS","","","",""
"BUILD IT BETTER YOURSELF","44","RODALE PRESS","DETAILS","","","",""
"THE HOMEOWNER'S MINIMUM MAINTENANCE MANUAL","45","SCHULER","DETAILS","","","",""
"HOW TO MAKE BUILT-IN FURNITURE","46","FABBRO","DETAILS","","","",""
"SPACE AND STORAGE","46.1","TIME/LIFE","DETAILS","","","",""
"BUILT-INS AND STORAGE","46.12","FINE HOMEBUILDING","DETAILS","","","",""
"STORAGE PROJECTS","46.13","ANTHOINY, BARRETT,MILLER","DETAILS","WOODWORKING","","",""
"BUILDING BETTER BEDS","46.2","BLANDFORD","DETAILS","","","",""
"THE BEDBOOK","46.3","DITTRICK","DETAILS","","","",""
"NOMADIC FURNITURE 2","46.5","HENNESSEY & PAPANEK","DETAILS","","","",""
"BUILDING A HOUSEFUL OF FURNITURE","46.6","WATTS","DETAILS","","","",""
"FURNITURE YOU CAN BUILD","46.61","HURST-WAJSZCZUK","DETAILS","","","",""
"CHAIRMAKING & DESIGN","46.62","MILLER","DETAILS","","","",""
"THE NEW YANKEE WORKSHOP","46.7","ABRAM","DETAILS","","","",""
"WOODWORKING & FURNITURE REPAIR","46.8","WAR DEPT.","WOODWORKING","DETAILS","","",""
"FURNITURE: IT'S SELECTION & USE","46.9","US DEPT. OF COMMERCE","WOODWORKING","DETAILS","","",""
"MEASURED SHOP DRAWINGS FOR AMERICAN FURNITURE","46.91","MOSER","WOODWORKING","","","",""
"MAKING AUTHENTIC SHAKER FURNITURE","46.92","SHEA","WOODWORKING","","","",""
"THE FURNITURE MAKER'S HANDBOOK","46.93","FAMILY HANDYMAN","WOODWORKING","","","",""
"RAISED PANEL FURNITURE 1730-1830","46.94","CHRYSLER MUSEUM","WOODWORKING","","","",""
"SHOP DRAWINGS OF SHAKER FURNITURE VOLS. 1-3","46.95","HANDBERG","WOODWORKING","","","",""
"ENCYCLOPEDIA OF FURNITUREMAKING","46.96","JOYCE","WOODWORKING","DETAILS","","",""
"SAUNA-THE FINNISH BATH","47","VIHERJUIRI","DETAILS","","","",""
"INTERIOR FINISH","48","SYVANEN","DETAILS","","","",""
"FINISH CARPENTRY TECHNIQUES","48.1","ORTHO","DETAILS","","","",""
"FINISH CARPENTRY","48.11","KATZ","DETAILS","","","",""
"FINISH CARPENTRY","48.12","FINE HOMEBUILDING","DETAILS","","","",""
"TRIM MADE SIMPLE","48.13","KATZ","DETAILS","","","",""
"TRIM IDEA BOOK","48.14","POLSON","DETAILS","","","",""
"TRIM CARPENTRY TECHNIQUES","48.2","SAVAGE","DETAILS","","","",""
"TRIM CARPENTRY","48.22","DEKORNE","DETAILS","","","",""
"EXTERIOR SIDING, TRIM AND FINISHES","48.23","FINE HOMEBUILDING","DETAILS","","","",""
"FINISH CARPENTERS MANUAL","48.3","TOLPIN","DETAILS","","","",""
"DRYWALL FOR THE BEGINNER","48.4","CEDARLEAF","DETAILS","","","",""
"CONSTRUCTION MANUAL-FINISH CARPENTRY","48.5","LOVE","DETAILS","","","",""
"PLASTERING SKILLS","48.6","VAN DEN BRANDEN","DETAILS","","","",""
"THE JOY OF PAPERHANGING","48.7","GREEN","DETAILS","","","",""
"WALLCOVERINGS: PANELING, PAINTING AND PAPERING","48.71","SCHARFF","DETAILS","","","",""
"WALLPAPERING FOR THE BEGINNER","48.8","CEDARLEAF","DETAILS","","","",""
"WALLS AND CEILINGS","48.9","TIME/LIFE","DETAILS","","","",""
"ELECTRICAL WIRING - RESIDENTIAL","49","WHITNEY","ELECTRIC","","","",""
"BASIC WIRING","50","TIME/LIFE","ELECTRIC","","","",""
"RESIDENTIAL ELECTRICIAN'S HANDBOOK","50.1","TRAISTER","ELECTRIC","","","",""
"HOME WIRING","50.2","STEP-BY-STEP","ELECTRIC","","","",""
"ADVANCED WIRING","50.3","TIME/LIFE","ELECTRIC","","","",""
"BASIC HOUSE WIRING","50.4","BURCH","ELECTRIC","","","",""
"WIRING SIMPLIFIED","50.5","RICHTER","ELECTRIC","","","",""
"RESIDENTIAL ELECTRICAL DESIGN","50.6","TRAISTER","ELECTRIC","","","",""
"HOMEOWNER HANDBOOK OF ELECTRICAL REPAIRS","50.7","HERTZBERG","ELECTRIC","","","",""
"BASIC HOME WIRING ILLUSTRATED","50.8","SUNSET","ELECTRIC","","","",""
"MODERN RESIDENTIAL WIRING","50.9","HOLZMAN","ELECTRIC","","","",""
"WIRING A HOUSE","50.91","CAULDWELL","ELECTRIC","","","",""
"CODE CHECK - ELECTRICAL","50.92","KARDON/HANSEN","ELECTRIC","","","",""
"WIRING COMPLETE","50.93","CAULDWELL","ELECTRIC","","","",""
"WINDOW DESIGN STRATEGIES TO CONSERVE ENERGY","51","US DEPT OF COMMERCE","DETAILS","","","",""
"FLOORS & STAIRWAYS","53","TIME/LIFE","DETAILS","","","",""
"BUILDING FLOORS, WALLS, AND STAIRS","53.1","FINE HOMEBUILDING","DETAILS","","","",""
"BASIC STAIRBUILDING","53.2","SCHUTTNER","DETAILS","","","",""
"HARDWOOD FLOORS","53.3","BOLLINGER","DETAILS","","","",""
"MODERN PRACTICAL STAIRBUILDING AND HANDRAILING","53.4","ELLIS","DETAILS","","","",""
"A TREATISE ON STAIRBUILDING & HANDRAILING","53.5","MOWAT","DETAILS","","","",""
"BE YOUR OWN CHIMNEY SWEEP","54","CURTIS / POST","DETAILS","","","",""
"THE HEALTHY HOUSE","55","KERN","DETAILS","THE HEALTHY HOUSE","","",""
"THE HEALTHY HOUSE","55.1","BOWER","DETAILS","THE HEALTHY HOUSE","","",""
"HEALTHY HOUSE CATALOG","55.2","ENV. HEALTH WATCH","DETAILS","THE HEALTHY HOUSE","","",""
"THE NATURAL HOUSE","55.3","PEARSON","DETAILS","THE HEALTHY HOUSE","","",""
"HEALING ENVIRONMENTS","55.4","VENOLIA","THE HEALTHY HOUSE","","","",""
"YOUR HOME, YOUR HEALTH & WELL BEING","55.5","ROUSSEAU","THE HEALTHY HOUSE","","","",""
"HOMES THAT HEAL","55.6","THOMPSON","THE HEALTHY HOUSE","","","",""
"PLACES OF THE SOUL","55.7","DAY","THE HEALTHY HOUSE","ARCHITECTURE","DESIGN","",""
"BUILDERS AND CONTRACTORS GUIDE TO NEW METHODS AND MATERIALS IN HOME CONSTRUCTION","56","EMERSON / OLESKY","DETAILS","","","",""
"TAGE FRID TEACHES WOODWORKING","57","FRID","WOODWORKING","","","",""
"ADVANCED WOODWORKING","57.1","TIME/LIFE","DETAILS","WOODWORKING","","",""
"SAM MALOOF, WOODWORKER","57.11","MALOOF","WOODWORKING","","","",""
"WORKER IN WOOD","57.12","KRENOV","WOODWORKING","","","",""
"THE JOYS OF CABINETMAKING","57.13","KRENOV","WOODWORKING","","","",""
"ON JOINERY","57.2","FINE WOODWORKING","DETAILS","WOODWORKING","","",""
"ENCYCLOPEDIA OF WOOD JOINTS","57.3","GRAUBNER","DETAILS","WOODWORKING","","",""
"WOODWORKING TECHNIQUES: JOINTS","57.31","DECRISTOFORO","DETAILS","WOODWORKING","","",""
"THE JOINT BOOK","57.32","NOLL","DETAILS","WOODWORKING","","",""
"WOODWORKING JOINTS","57.4","HAYWARD","DETAILS","WOODWORKING","","",""
"WOOD AND WOOD JOINTS","57.41","ZWERGER","DETAILS","TIMBERFRAMING","","",""
"PICTUREFRAMING MADE EASY","57.42","STOKES","DETAILS","","","",""
"MAKING SMALL WOODEN BOXES","57.43","JACOBSON","DETAILS","WOODWORKING","","",""
"BLIZZARD'S WONDERFUL WOODEN TOYS","57.44","BLIZZARD","WOODWORKING","","","",""
"BUILDING WOODEN TOYS","57.441","STANLEY","WOODWORKING","","","",""
"CHILDREN'S TOYS AND FURNITURE","57.442","BURCH","WOODWORKING","","","",""
"POPULAR SCIENCE WDDOWORKING PROJECTS","57.45","POPULAR SCIENCE","WOODWORKING","","","",""
"MOTHER'S 101 WORKSHOP PROJECTS","57.46","MOTHER EARTH NEWS","WOODWORKING","","","",""
"WOODWORKING TECHNIQUES AND PROJECTS","57.47","CAPOTOSTO","WOODWORKING","","","",""
"33 USEFUL PROJECTS FOR THE WOODWORKER","57.48","SCHOOL SHOP MAGAZINE","WOODWORKING","","","",""
"DESIGN BOOK 3","57.5","FINE WOODWORKING","DETAILS","WOODWORKING","","",""
"DESIGN BOOK 7","57.51","FINE WOODWORKING","DETAILS","WOODWORKING","","",""
"FINE WOODWORKING TECHNIQUES 3","57.6","TAUNTON PRESS","WOODWORKING","","","",""
"FINE WOODWORKING TECHNIQUES 5","57.7","TAUNTON PRESS","WOODWORKING","","","",""
"JIGS, FIXTURES & SETUPS","57.8","SCHIFF &BURTON","WOODWORKING","","","",""
"200 ORIGINAL SHOP AIDS AND JIGS FOR WOODWORKERS","57.81","CAPOTOSTO","WOODWORKING","","","",""
"WOOD BENDING MADE SIMPLE","57.82","SCHLEINING","WOODWORKING","","","",""
"WOODSHOP JIGS AND FIXTURES","57.83","NAGYSZALANCZY","WOODWORKING","","","",""
"WORKING WITH WOOD","57.9","KORN","WOODWORKING","","","",""
"OUTDOOR PLACES","58","WEISS","DETAILS","","","",""
"HOW TO BUILD DECKS","58.1","SUNSET","DETAILS","","","",""
"BUILDING PORCHES AND DECKS","58.11","FINE HOMEBUILDING","DETAILS","","","",""
"THE DOCK MANUAL","58.12","BURNS","DETAILS","","","",""
"OUTDOOR STRUCTURES","58.2","TIME/LIFE","DETAILS","","","",""
"BUILDING & DESIGNING DECKS","58.21","SCHUTTNER","DETAILS","","","",""
"BUILDING OUTDOOR STRUCTURES","58.22","MCBRIDE","DETAILS","","","",""
"OUTDOOR FURNITURE","58.3","ENGLER","DETAILS","","","",""
"OUTDOOR WOODWORK","58.31","BRIDGEWATER","DETAILS","WOODWORKING","","",""
"THE BACKYARD BIRDHOUSE BOOK","58.32","LAUBACH","DETAILS","","","",""
"GARDEN POOLS","58.4","SUNSET","DETAILS","GREENHOUSES AND AGRICULTURE","","",""
"OUTDOOR RECREATION PROJECTS","58.41","BRIGHT","DETAILS","","","",""
"PARK AND RECREATION STRUCTURES","58.42","GOOD","DETAILS","TIMBERFRAMING","","",""
"OUTDOOR WATER FEATURES","58.43","BRIDGEWATER","DETAILS","","","",""
"SHELTERS, SHACKS, AND SHANTIES","58.5","BEARD","DETAILS","","","",""
"PATIO ROOFS AND GAZEBOS","58.6","SUNSET","DETAILS","","","",""
"GAZEBOS","58.61","SUN DESIGNS","DETAILS","","","",""
"PATIOS & WALKWAYS","58.62","JESWALD","DETAILS","","","",""
"BRIDGES AND CUPOLAS","58.7","STROMBECK","DETAILS","","","",""
"GARDEN RETREATS","58.8","STILES","DETAILS","","","",""
"THE BARBECUE BOOK","58.9","SUNSET","DETAILS","","","",""
"BUILDING BARBECUES","58.91","SUNSET","DETAILS","MASONRY","","",""
"SMALL HOUSES","59","WEISS / GAULT","DETAILS","","","",""
"THE ART OF JAPANESE JOINERY","60","SEIKE","DETAILS","WOODWORKING","","",""
"JAPANESE WOODWORKING","60.1","SATO","DETAILS","WOODWORKING","","",""
"MEASURE AND CONSTRUCTION OF THE JAPANESE HOUSE","60.2","ENGEL","DETAILS","ARCHITECTURE","","",""
"THE GENIUS OF JAPANESE CARPENTRY","60.3","BROWN","DETAILS","","","",""
"NATURE ON VIEW","60.4","RAO &MAHONEY","DETAILS","LANDSCAPING","","",""
"JAPANESE JOINERY","60.5","NAKAHARA","DETAILS","TIMBERFRAMING","","",""
"JAPANESE WOODWORKING TOOLS","60.6","ODATE","WOODWORKING","","","",""
"GREAT KITCHENS","61","WEISS","DETAILS","","","",""
"GOOD LIVES","62","WEISS / WISE","DETAILS","","","",""
"ROOMS WITH A VIEW","63","WISE","DETAILS","","","",""
"THE DOOR YARD","63.1","BERG","DETAILS","LANDSCAPING","","",""
"REDUCING HOME BUILDING COSTS","64","WILLIAMS","DETAILS","","","",""
"DOORS","65","CLERY","DETAILS","","","",""
"BUILDING DOORS, WINDOWS, AND SKYLIGHTS","65.1","FINE HOMEBUILDING","DETAILS","","","",""
"WINDOWS & SKYLIGHTS","65.11","FINE HOMEBUILDING","DETAILS","","","",""
"WINDOWS AND DOORS","65.2","McBRIDE","DETAILS","","","",""
"DOORMAKING PATTERNS AND IDEAS","65.3","BIRCHARD","DETAILS","","","",""
"WINDOWS, A FEAST FOR THE EYE & THE INAGINATION","66","CLERY","DETAILS","","","",""
"MAKE YOUR OWN HANDCRAFTED DOORS AND WINDOWS","66.4","BIRCHARD","DETAILS","","","",""
"HANDCRAFTED DOORS & WINDOWS","66.5","ROWLAND","DETAILS","","","",""
"HANDCRAFTED SHELVES AND CABINETS","66.6","ROWLAND & HYLTON","DETAILS","","","",""
"HANDBOOK OF DOORMAKING, WINDOWMAKING, & STAIRCASING","66.7","TALBOT","DETAILS","","","",""
"CIRCULAR WORK IN CARPENTRY AND JOINERY","66.8","COLLINGS","DETAILS","","","",""
"AROUND THE HOUSE","67","FRAZIER","DETAILS","","","",""
"HOUSE ABOUT IT","67.1","KOONES","DETAILS","","","",""
"NEW HOUSE BOOK","67.5","CONRAN","DETAILS","","","",""
"THE MOTION MINDED KITCHEN","68","CLARK","DETAILS","","","",""
"MAKING KITCHEN CABINETS","68.4","LEVINE","DETAILS","","","",""
"BUILDING YOUR OWN KITCHEN CABINETS","68.5","CARY","DETAILS","","","",""
"MAKING PLASTIC-LAMINATE COUNTERTOPS","68.6","KIMBALL","DETAILS","","","",""
"THE COMPLETE BOOK OF WOOD FINISHING","69","SCHARFF","DETAILS","","","",""
"WOOD FINISHING","69.1","TIME/LIFE","DETAILS","","","",""
"SPRAY FINISHING","69.2","CHARRON","DETAILS","","","",""
"FINISHING AND REFINISHING","69.3","FINE WOODWORKING","DETAILS","WOODWORKING","","",""
